person	process	process_kind	document_count	documents
Дмитриев	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	7	3420 | 3423 | 3440 | 3963 | 4047 | 4384 | 4385
Е.А. Дрейцера	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	7	5654 | 5664 | 5668 | 5706 | 5738 | 5744 | 5756
И.А. Мусульбаса	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	7	6231 | 6516 | 6819 | 7000 | 7009 | 7079 | 7105
М.В. Королькова	КРЕМЛЕВСКОЕ ДЕЛО	related_case	7	4964 | 4985 | 5012 | 5023 | 5035 | 5117 | 5210
М.Ф. Шкирятову	КРЕМЛЕВСКОЕ ДЕЛО	related_case	7	1734 | 4829 | 4831 | 4833 | 4837 | 4838 | 9917
Н.П. Мясникова	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	7	3063 | 3064 | 3117 | 3118 | 3158 | 3215 | 3216
Ф.Ф. Фадеева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	7	3260 | 3312 | 3345 | 3422 | 4057 | 4102 | 4103
А.Ф. Шараповой	КРЕМЛЕВСКОЕ ДЕЛО	related_case	6	4968 | 5003 | 5074 | 5140 | 5147 | 5233
В.А. Виноградова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	6	3240 | 3241 | 3243 | 3360 | 4100 | 4101
В.В. Глухенко	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	6	5316 | 5317 | 5323 | 5331 | 5343 | 5352
Г.М. Аркуса	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	6	5691 | 5696 | 5708 | 5733 | 5735 | 6828
Д.А. Шмидта	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	6	5677 | 5685 | 5686 | 5775 | 5803 | 5839
Д.Н. Ширяева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	6	3257 | 3273 | 3311 | 3901 | 3906 | 3907
З.И. Давыдовой	КРЕМЛЕВСКОЕ ДЕЛО	related_case	6	4944 | 5173 | 5174 | 5176 | 5177 | 5209
И.К. Наумова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	6	3242 | 3290 | 3400 | 4485 | 4521 | 4543
И.М. Гуревича	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	6	6208 | 6450 | 6452 | 6455 | 6677 | 6680
Л.Я. Файвиловича	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	6	3246 | 3315 | 3453 | 3937 | 4026 | 4444
М.М. Киллерога	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	6	6196 | 6202 | 6446 | 6448 | 6459 | 6465
М.Н. Яковлева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	6	3964 | 3981 | 4031 | 4060 | 4061 | 4106
Н.И. Бураго	КРЕМЛЕВСКОЕ ДЕЛО	related_case	6	4878 | 4928 | 4946 | 5010 | 5172 | 5174
П.И. Бескиной	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	6	10809 | 10814 | 10817 | 9165 | 9170 | 9211
Троцкий	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	6	10877 | 10880 | 10889 | 10891 | 10893 | 4202
А.А. Шестова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	5	5800 | 5816 | 5873 | 5878 | 7135
А.В. Перимова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	5	3438 | 3940 | 4481 | 4482 | 4483
А.Н. Сафоновой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	5	5387 | 5407 | 5497 | 5627 | 5702
А.Н. Слепкова	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	5	8219 | 8224 | 8475 | 8592 | 9746
А.П. Костиной	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	5	3389 | 3989 | 4137 | 4382 | 9753
А.Ю. Айхенвальда	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	5	8233 | 8249 | 8513 | 8565 | 8572
А.Ю. Тивеля	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	5	5726 | 5750 | 5794 | 5805 | 6545
А.Я. Вышинский	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	5	10138 | 5771 | 5791 | 6875 | 7419
Б.Н. Розенфельда	КРЕМЛЕВСКОЕ ДЕЛО	related_case	5	4926 | 4963 | 5125 | 5191 | 5204
В.И. Козырева	КРЕМЛЕВСКОЕ ДЕЛО	related_case	5	4879 | 4899 | 4921 | 4956 | 4971
В.Я. Головский-Голощапов	КРЕМЛЕВСКОЕ ДЕЛО	related_case	5	5154 | 5158 | 5160 | 5164 | 5178
Г.В. Соколова	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	5	2725 | 2787 | 3116 | 3174 | 3227
Г.Г. Ягода	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	5	8209 | 8212 | 8215 | 8217 | 8553
Е.Ф. Куликова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	5	5820 | 5833 | 6284 | 6286 | 7455
И.С. Горшениным	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	5	4071 | 4322 | 4362 | 4387 | 4389
Каменев	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	5	5717 | 5720 | 5743 | 5760 | 5761
М.С. Рэма	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	5	3386 | 3416 | 3944 | 3990 | 3991
Молотов	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	5	5459 | 5731 | 6868 | 6870 | 7675
Н.А. Угланова	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	5	8243 | 8247 | 8462 | 8568 | 8588
Н.А. Царькова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	5	3292 | 3307 | 3377 | 4096 | 4434
Н.Б. Розенфельда	КРЕМЛЕВСКОЕ ДЕЛО	related_case	5	4914 | 4941 | 4959 | 4992 | 5124
П.А. Коваленко	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	5	5373 | 5427 | 5479 | 5522 | 5598
С.А. Чихладзе	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	5	6897 | 6905 | 6909 | 6918 | 6920
Т.И. Глебовой	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	5	10238 | 4579 | 7389 | 7391 | 7407
Шемелев	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	5	5358 | 5432 | 5507 | 5512 | 5557
Я.В. Шарова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	5	4071 | 4339 | 4340 | 4378 | 4386
Я.С. Розанова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	5	5348 | 5349 | 5351 | 5353 | 5435
А.А. Мусатова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	4	5378 | 5409 | 5527 | 5570
А.А. Трояновского	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	4	7096 | 7267 | 7271 | 7273
А.В. Герцберга	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	4	3456 | 3924 | 4109 | 4325
А.Г. Колодина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	4	5377 | 5379 | 5393 | 5644
А.И. Александрова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	4	3259 | 3295 | 3374 | 4383
Агранов	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	4	10470 | 5695 | 5700 | 6776
Агранов	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	4	3366 | 3425 | 4547 | 4802
Б.А. Кушнера	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	4	5837 | 6224 | 6963 | 7056
В.В. Осинского	КРЕМЛЕВСКОЕ ДЕЛО	related_case	4	4852 | 5085 | 5106 | 8451
В.В. Шмидта	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	4	7665 | 7667 | 7673 | 7691
В.Г. Дорошина	КРЕМЛЕВСКОЕ ДЕЛО	related_case	4	4869 | 4871 | 4872 | 4905
В.Д. Миронова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	4	4442 | 4487 | 4518 | 4562
Г.А. Молчанова	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	4	7517 | 8259 | 8559 | 9746
Г.Е. Евдокимовым	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	4	4359 | 4362 | 4386 | 4435
Г.Л. Хасина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	4	5374 | 5452 | 5477 | 5531
Д.Л. Игнатюка	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	4	5303 | 5312 | 5319 | 5344
Е.Ю. Раевской	КРЕМЛЕВСКОЕ ДЕЛО	related_case	4	4874 | 4965 | 5141 | 5207
З.А. Ашрафяна	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	4	7355 | 7357 | 7478 | 7480
З.М. Беленького	КРЕМЛЕВСКОЕ ДЕЛО	related_case	4	1734 | 4829 | 4830 | 9879
И.А. Князева	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	4	5905 | 5907 | 5914 | 6588
И.И. Горовича	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	4	5363 | 5371 | 5474 | 5520
И.И. Трусова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	4	5356 | 5364 | 5380 | 5508
И.Ф. Касперского	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	4	4320 | 4352 | 4505 | 4506
Каменев	КРЕМЛЕВСКОЕ ДЕЛО	related_case	4	1735 | 5029 | 5104 | 5159
Л.В. Николаевым	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	4	3150 | 3175 | 3176 | 3183
Л.З. Мехлиса	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	4	6947 | 6949 | 7030 | 7235
Л.И. Сосицкого	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	4	3193 | 3194 | 3217 | 3237
Л.М. Каганович	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	4	5764 | 5786 | 6828 | 8900
Л.Ф. Дитятевой	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	4	5719 | 5729 | 5746 | 5799
М.В. Поздеевой	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	4	3403 | 3424 | 3939 | 4065
М.С. Строилова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	4	5863 | 5879 | 5882 | 5910
Р.В. Пикеля	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	4	5663 | 5665 | 5671 | 5714
Р.М. Кулишера	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	4	3062 | 3112 | 3129 | 3130
Рыков	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	4	11258 | 6602 | 8909 | 8911
Э.С. Гольцмана	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	4	5602 | 5618 | 5646 | 5674
Я.А. Лившица	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	4	4291 | 6691 | 7101 | 7582
Я.Р. Ельковича	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	4	4454 | 4479 | 4510 | 4547
А.А. Докучаева	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	5841 | 5862 | 6235
А.Е. Авдеевой	КРЕМЛЕВСКОЕ ДЕЛО	related_case	3	4856 | 4857 | 4858
А.Е. Кожуро	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	3	4098 | 4341 | 4350
А.И. Биркенгофа	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5636 | 5648 | 5662
А.И. Кармалитова	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	3	7754 | 8003 | 8245
А.И. Коновой	КРЕМЛЕВСКОЕ ДЕЛО	related_case	3	4895 | 4945 | 5068
А.И. Синелобова	КРЕМЛЕВСКОЕ ДЕЛО	related_case	3	4868 | 4915 | 4997
А.К. Середохина	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	3	3959 | 4062 | 4099
А.М. Лариной	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	3	8719 | 8788 | 8790
А.Х. Кантора	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5462 | 5511 | 5572
А.Я. Вышинский	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	11258 | 5819 | 6175
А.Я. Свердлова	КРЕМЛЕВСКОЕ ДЕЛО	related_case	3	4853 | 4854 | 5066
Б.И. Кузьмичева	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	5683 | 5804 | 5809
Б.М. Нижника	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5330 | 5332 | 5342
Б.М. Оберталлера	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	5853 | 5865 | 7762
В.А. Тер-Ваганян	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5699 | 5727 | 5758
В.А. Яковлева	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	6472 | 6790 | 6794
В.Г. Белова	КРЕМЛЕВСКОЕ ДЕЛО	related_case	3	5059 | 5081 | 5224
В.Д. Каспаровой	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	6246 | 6324 | 6476
В.П. Потемкина	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	7262 | 7265 | 7383
Г.А. Молчанова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5648 | 5777 | 9756
Г.Е. Горбачева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	3	4048 | 4056 | 4108
Г.И. Сафаровым	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	3	4069 | 4109 | 4423
Г.М. Артеменко	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5267 | 5268 | 5275
Д.П. Марецкого	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	3	7988 | 8235 | 8594
Е.А. Петровой	КРЕМЛЕВСКОЕ ДЕЛО	related_case	3	4973 | 5038 | 5116
Е.К. Коршунова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	3	3296 | 3457 | 4507
Ежов	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	3	6862 | 6864 | 9753
З.И. Пелевиной	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5269 | 5270 | 5271
И.Д. Турока	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	6316 | 7124 | 7206
И.И. Бурлакова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	5877 | 5887 | 6488
И.И. Котолыновым	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	3	3137 | 3150 | 3230
И.К. Федотова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5366 | 5553 | 5565
И.П. Бакаева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5656 | 5701 | 5759
К.И. Синелобовой	КРЕМЛЕВСКОЕ ДЕЛО	related_case	3	4883 | 4904 | 5090
Л.А. Лаврентьева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5276 | 5277 | 5279
Л.Г. Лелевича	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	3	4530 | 4553 | 4563
Л.И. Гасвиани	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	6899 | 6974 | 7176
Л.М. Каганович	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	6273 | 6691 | 7428
Л.М. Каганович	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	3	1516 | 4391 | 7407
Л.М. Марьясина	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	3	7713 | 7715 | 7811
Л.О. Ханика	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	3	3013 | 3115 | 3195
Л.П. Серебрякова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	6322 | 7099 | 7204
Л.П. Серебряковым	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	6354 | 6360 | 7192
Л.С. Сосновского	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	6265 | 6376 | 6431
М.В. Бурштейном	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	3	7756 | 7895 | 7897
М.И. Лурье	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5657 | 5711 | 6868
М.Л. Быховского	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5601 | 5604 | 5631
М.О. Зюка	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	5773 | 5796 | 5811
М.П. Жакова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5404 | 5639 | 6870
М.С. Богуславского	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	5812 | 6388 | 7602
Н.А. Карева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5649 | 5694 | 5718
Н.И. Гордона	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	6800 | 6982 | 6984
Н.И. Москалева	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	5826 | 5828 | 5829
Н.М. Лукина-Бухарина	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	3	8792 | 8794 | 8796
Н.П. Глебов-Авилов	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	5924 | 5971 | 5973
Н.П. Михетко	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	5886 | 5890 | 5899
Н.П. Мясниковым	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	3	3159 | 3218 | 3228
Н.С. Антоновым	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	3	3137 | 3138 | 3229
П.А. Залуцкого	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	3	4508 | 4531 | 4554
П.И. Гордеевой	КРЕМЛЕВСКОЕ ДЕЛО	related_case	3	4884 | 4922 | 4932
П.Ф. Зайцева	КРЕМЛЕВСКОЕ ДЕЛО	related_case	3	4809 | 4836 | 4841
П.Ф. Сапожникова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	5817 | 5855 | 5923
П.Э. Роцкана	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	3	4419 | 4457 | 4520
Рыков	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	8900 | 8902 | 8904
С.И. Лукашика	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	3	7802 | 7804 | 7806
С.Х. Варданиана	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	3	7379 | 7826 | 7828
С.Я. Шаева	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	6507 | 6510 | 6512
Ф.А. Горбуновой	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5390 | 5454 | 5552
Х.Г. Гуревича	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	3	5556 | 5599 | 5625
Х.Г. Раковского	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	7292 | 7294 | 7611
Ю.М. Коцюбинского	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	6188 | 6194 | 6206
Я.Н. Вечерковского	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	7252 | 7254 | 7256
Я.Н. Дробниса	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	3	5852 | 5894 | 7222
А.А. Андрееву	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5778 | 5786
А.А. Бусыгина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5630 | 5632
А.А. Лаврентьева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5272 | 5273
А.А. Муштакова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	2	9623 | 9627
А.А. Хвыли	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	6273 | 7075
А.В. Луговой-Левенштейн	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	5822 | 5831
А.В. Румянцева	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	2	1625 | 1632
А.Д. Арефьева	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	2	7950 | 8511
А.И. Потяева	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	5870 | 6249
А.И. Юлина	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	5845 | 5876
А.М. Горькому	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	2	7387 | 8993
А.М. Гусева	КРЕМЛЕВСКОЕ ДЕЛО	related_case	2	4851 | 5033
А.М. Штейна	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	6288 | 6290
А.П. Загорулько	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5445 | 5500
А.С. Куклиным	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	2	4000 | 4325
А.С. Соколова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5455 | 5514
Агранов	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	2	1630 | 6693
Б.Г. Козелева	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	2	7644 | 7937
Б.И. Лехтмана	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5334 | 5345
Б.М. Таля	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	6376 | 6431
В.А. Балицкого	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	2025 | 5354
В.А. Ельчаниновой	КРЕМЛЕВСКОЕ ДЕЛО	related_case	2	4950 | 4972
В.А. Закамалдина	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	2	7733 | 7735
В.А. Яковлева	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	2	7555 | 7942
В.В. Досекина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5368 | 5382
В.В. Папкова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	6384 | 7341
В.В. Румянцева	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	2	1442 | 3334
В.В. Румянцевым	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	2	3159 | 3229
В.Г. Яковенко	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	2	7613 | 7724
В.И. Звездовым	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	2	3138 | 3155
В.И. Невского	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	6216 | 6584
В.И. Пучкова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	5895 | 6518
В.И. Шипихина	КРЕМЛЕВСКОЕ ДЕЛО	related_case	2	4846 | 9930
В.М. Андреева	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	5892 | 6372
В.М. Рохинсона	КРЕМЛЕВСКОЕ ДЕЛО	related_case	2	5187 | 5237
В.Н. Голованова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	5958 | 6381
В.Н. Ракова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5355 | 5365
В.Н. Цатурова-Большакова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	2	3945 | 4067
В.Ф. Головина	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	2	7878 | 7913
Г.А. Колоскова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	5830 | 5854
Г.В. Соколовым	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	2	3155 | 3175
Г.Е. Евдокимова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5742 | 5757
Г.Е. Пушина	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	5961 | 6379
Г.И. Шварца	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	2	3946 | 3958
Г.К. Орджоникидзе	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	2	7586 | 8700
Г.Л. Шкловского	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5612 | 5616
Г.П. Поташникова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	related_case	2	3258 | 3314
Г.С. Фридлянда	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5734 | 5739
Г.Ф. Овчинникова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	5915 | 7082
Г.Я. Маренко	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5488 | 5490
Гавен	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	2	5550 | 5584
Д.А. Карцева	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	7113 | 7115
Д.И. Антипаса	КРЕМЛЕВСКОЕ ДЕЛО	related_case	2	9912 | 9917
Д.И. Матвеева	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	6213 | 6470
Д.С. Азбеля	КРЕМЛЕВСКОЕ ДЕЛО	related_case	2	5009 | 5102
Д.Т. Шермергорна	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	2	7003 | 7410
Е.В. Рогачевой	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	related_case	2	2728 | 2789
