person	document_count	total_words	first_date	last_date	organization_diversity	family_diversity	process_diversity	collection_diversity	document_type_diversity	institutional_breadth_score	centrality_score	top_families	top_organizations	top_processes	top_collections	top_document_types	interpretation_note
А.О. Альского	1	4994	1936-04-22T18:35:00	1936-04-22T18:35:00	7	4	1	1	1	23	91	party_apparatus:1 | press_media:1 | international:1 | security_apparatus:1	ГУГБ:1 | Правда:1 | НКВД:1 | ВКП(б):1 | ЦК ВКП(б):1 | Политбюро:1 | Коминтерн:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.П. Жакова	3	5382	1936-03-16T13:33:46	1936-05-27T00:10:00	5	4	1	2	2	23	90	party_apparatus:2 | security_apparatus:2 | international:1 | press_media:1	ГУГБ:2 | ВКП(б):2 | ЦК ВКП(б):2 | Коминтерн:1 | Правда:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:2 | ДРУГИЕ ДОКУМЕНТЫ:1	special_report:2 | letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.В. Галкина	2	3044	1936-07-11T00:10:00	1936-07-21T05:10:00	7	3	2	1	1	22	90	party_apparatus:2 | security_apparatus:1 | state_apparatus:1	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:1 | НКВД:1 | Совнарком:1 | Политбюро:1 | ИНО ГУГБ:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Д.А. Шмидта	6	7281	1936-07-07T10:49:00	1936-09-21T01:36:00	6	3	1	1	3	21	89	security_apparatus:6 | party_apparatus:5 | state_apparatus:1	ГУГБ:5 | ВКП(б):5 | НКВД:5 | ОО ГУГБ НКВД:3 | ЦК ВКП(б):3 | Совнарком:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:6	МАТЕРИАЛЫ СЛЕДСТВИЯ:6	special_report:3 | interrogation_protocol:2 | statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.М. Гусева	2	1864	1935-03-20T04:00:00	1935-07-01T18:41:00	7	3	1	2	2	22	89	security_apparatus:2 | party_apparatus:2 | state_apparatus:1	ГУГБ:2 | НКВД:2 | ВКП(б):2 | КПК при ЦК ВКП(б):1 | КПК:1 | ЦК ВКП(б):1 | Совнарком:1	КРЕМЛЕВСКОЕ ДЕЛО:2	ДРУГИЕ ДОКУМЕНТЫ:1 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	statement:1 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.Е. Бурковой	2	4503	1933-11-29T18:50:09	1935-03-20T01:00:00	5	4	1	2	2	23	89	party_apparatus:2 | state_apparatus:2 | press_media:1 | security_apparatus:1	ВКП(б):2 | ЦИК СССР:2 | Политбюро:1 | Правда:1 | ГУГБ:1	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:1 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	statement:1 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.Е. Кожуро	3	2214	1935-01-05T09:00:00	1935-01-09T01:00:00	6	4	1	1	1	22	88	party_apparatus:2 | press_media:1 | international:1 | security_apparatus:1	ЦК ВКП(б):2 | ВКП(б):2 | ГУГБ:1 | Правда:1 | НКВД:1 | Коминтерн:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	interrogation_protocol:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.П. Глебов-Авилов	3	7576	1936-10-21T06:40:00	1936-12-26T00:29:00	6	4	1	1	1	22	88	security_apparatus:3 | party_apparatus:3 | judicial_apparatus:2 | state_apparatus:1	ГУГБ:3 | ВКП(б):3 | ЦК ВКП(б):3 | Верховный Суд СССР:2 | НКВД:1 | Совнарком:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	special_report:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.И. Лукашика	3	9443	1937-01-19T11:10:34	1937-01-25T11:20:10	6	4	1	1	1	22	88	security_apparatus:3 | party_apparatus:3 | press_media:1 | state_apparatus:1	ГУГБ:3 | НКВД:3 | ВКП(б):3 | ЦИК СССР:1 | Правда:1 | КПК:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	interrogation_protocol:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.Ф. Дитятевой	5	10021	1936-07-28T00:32:00	1937-02-05T11:05:53	5	3	2	1	2	21	87	party_apparatus:5 | security_apparatus:4 | press_media:2	ВКП(б):5 | ГУГБ:4 | ЦК ВКП(б):4 | НКВД:3 | Правда:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:5	special_report:4 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Д.Т. Шермергорна	2	9620	1936-11-16T19:54:33	1937-01-19T12:27:50	6	4	1	1	1	22	87	party_apparatus:2 | security_apparatus:2 | international:2 | state_apparatus:1	ГУГБ:2 | НКВД:2 | ВКП(б):2 | ЦК ВКП(б):2 | Коминтерн:2 | Совнарком:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
К.Б. Берман-Юрин	2	8694	1936-07-21T04:10:00	1936-08-01T03:10:00	8	3	1	1	1	21	87	party_apparatus:2 | security_apparatus:2 | international:2	НКВД:2 | ВКП(б):2 | ЦК ВКП(б):2 | Политбюро:2 | Коминтерн:2 | ИККИ:1 | ГУГБ:1 | ИНО ГУГБ:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.А. Шацкина	2	1473	1934-12-28T18:19:46	1936-11-04T18:39:00	5	3	2	2	2	22	87	press_media:1 | party_apparatus:1 | judicial_apparatus:1	Правда:1 | КПК:1 | ВКП(б):1 | Прокуратура СССР:1 | ЦК ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	СПРАВКА:1 | ДРУГИЕ ДОКУМЕНТЫ:1	special_report:1 | letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.Л. Лурье	2	4476	1936-07-11T01:10:00	1936-07-21T01:10:00	6	4	1	1	1	22	87	party_apparatus:2 | international:1 | security_apparatus:1 | state_apparatus:1	ЦК ВКП(б):2 | ВКП(б):2 | Коминтерн:1 | ГУГБ:1 | ЦИК СССР:1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Я.Я. Упмал-Ангарский	2	3950	1936-04-22T02:00:00	1936-05-10T00:10:00	6	4	1	1	1	22	87	party_apparatus:2 | security_apparatus:2 | international:2 | press_media:1	ГУГБ:2 | ВКП(б):2 | Коминтерн:2 | ЦК ВКП(б):1 | Правда:1 | Известия:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.И. Тарасова	8	4332	1934-12-19T04:00:00	1935-01-07T09:00:00	5	3	1	1	3	20	86	security_apparatus:6 | party_apparatus:3 | press_media:2	ГУГБ:6 | ВКП(б):3 | НКВД:3 | Правда:2 | ЦК ВКП(б):1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8	МАТЕРИАЛЫ СЛЕДСТВИЯ:8	interrogation_protocol:6 | statement:1 | testimony:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
В.М. Попова	7	8748	1935-11-03T17:09:00	1936-03-28T00:00:00	6	3	1	1	2	20	86	party_apparatus:6 | security_apparatus:6 | international:2	ГУГБ:6 | ВКП(б):6 | НКВД:3 | Коминтерн:2 | ЦК ВКП(б):2 | Политбюро:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:7	МАТЕРИАЛЫ СЛЕДСТВИЯ:7	interrogation_protocol:6 | special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.П. Томского	4	7376	1933-03-05T15:55:06	1936-09-09T14:20:54	5	2	3	3	1	21	86	party_apparatus:3 | press_media:1	Политбюро:3 | ВКП(б):2 | ЦК ВКП(б):2 | Правда:1 | Известия:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:2 | ДРУГИЕ ДОКУМЕНТЫ:1 | ПРЕДЫСТОРИЯ:1	letter:4	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.А. Андрееву	3	1436	1936-05-19T18:37:00	1936-11-25T19:19:49	4	3	2	3	2	22	86	party_apparatus:3 | security_apparatus:2 | press_media:1	ЦК ВКП(б):3 | ВКП(б):3 | НКВД:2 | Правда:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1 | СПРАВКА:1 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	memo_note:2 | letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.Л. Шкловского	2	2526	1936-05-04T00:10:00	1936-05-06T00:10:00	5	4	1	1	2	22	86	party_apparatus:2 | security_apparatus:1 | international:1 | state_apparatus:1	ВКП(б):2 | ЦК ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | Совнарком:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:1 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.Б. Скаловой	2	2775	1935-03-31T00:00:00	1935-04-03T01:00:00	5	4	1	1	2	22	86	security_apparatus:2 | international:2 | party_apparatus:1 | press_media:1	ГУГБ:2 | Коминтерн:2 | ВКП(б):1 | ЦК ВКП(б):1 | Правда:1	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:1 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.В. Травиной	1	2505	1937-01-31T12:25:49	1937-01-31T12:25:49	6	4	1	1	1	22	86	press_media:1 | security_apparatus:1 | party_apparatus:1 | state_apparatus:1	Правда:1 | НКВД:1 | Совнарком:1 | ВКП(б):1 | Известия:1 | ЦК ВКП(б):1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	БУХАРИН:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.Л. Леонтьева	1	9013	1936-08-09T00:38:00	1936-08-09T00:38:00	8	3	1	1	1	21	86	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | Правда:1 | КПК при ЦК ВКП(б):1 | НКВД:1 | КПК:1 | ВКП(б):1 | ЦК ВКП(б):1 | Горьковский крайком ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
В.Н. Слепкова	1	4901	1937-02-13T20:44:59	1937-02-13T20:44:59	6	4	1	1	1	22	86	party_apparatus:1 | press_media:1 | international:1 | security_apparatus:1	ГУГБ:1 | Правда:1 | ВКП(б):1 | ЦК ВКП(б):1 | Политбюро:1 | Коминтерн:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
В.П. Второва	1	1804	1936-05-11T11:08:07	1936-05-11T11:08:07	8	3	1	1	1	21	86	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | Правда:1 | НКВД:1 | КПК при ЦК ВКП(б):1 | КПК:1 | ВКП(б):1 | ЦК ВКП(б):1 | Политбюро:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.Б. Либермана	1	4815	1935-04-07T00:10:00	1935-04-07T00:10:00	6	4	1	1	1	22	86	party_apparatus:1 | press_media:1 | international:1 | security_apparatus:1	ГУГБ:1 | Правда:1 | НКВД:1 | ВКП(б):1 | ЦК ВКП(б):1 | Коминтерн:1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Д.П. Розита	1	3514	1937-02-09T21:11:59	1937-02-09T21:11:59	6	4	1	1	1	22	86	party_apparatus:1 | press_media:1 | international:1 | security_apparatus:1	ГУГБ:1 | Правда:1 | ВКП(б):1 | ЦК ВКП(б):1 | Политбюро:1 | Коминтерн:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.А. Акулову	1	498	1935-07-31T12:12:44	1935-07-31T12:12:44	6	4	1	1	1	22	86	press_media:1 | security_apparatus:1 | party_apparatus:1 | state_apparatus:1	ЦИК СССР:1 | Правда:1 | Секретариат ЦИК СССР:1 | НКВД:1 | ВКП(б):1 | ЦК ВКП(б):1	КРЕМЛЕВСКОЕ ДЕЛО:1	ДРУГИЕ ДОКУМЕНТЫ:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.А. Мальгина	1	2111	1935-08-17T12:12:05	1935-08-17T12:12:05	6	4	1	1	1	22	86	party_apparatus:1 | press_media:1 | international:1 | security_apparatus:1	ГУГБ:1 | Правда:1 | НКВД:1 | ВКП(б):1 | ЦК ВКП(б):1 | Коминтерн:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.И. Граше	1	2762	1936-11-15T00:29:00	1936-11-15T00:29:00	6	4	1	1	1	22	86	party_apparatus:1 | press_media:1 | international:1 | security_apparatus:1	ГУГБ:1 | Правда:1 | НКВД:1 | ВКП(б):1 | ЦК ВКП(б):1 | Коминтерн:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.И. Ганштака	1	498	1935-07-31T12:12:44	1935-07-31T12:12:44	6	4	1	1	1	22	86	press_media:1 | security_apparatus:1 | party_apparatus:1 | state_apparatus:1	ЦИК СССР:1 | Правда:1 | Секретариат ЦИК СССР:1 | НКВД:1 | ВКП(б):1 | ЦК ВКП(б):1	КРЕМЛЕВСКОЕ ДЕЛО:1	ДРУГИЕ ДОКУМЕНТЫ:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.Л. Левина	1	3550	1937-03-14T19:03:58	1937-03-14T19:03:58	6	4	1	1	1	22	86	party_apparatus:1 | press_media:1 | international:1 | security_apparatus:1	ГУГБ:1 | ИККИ:1 | НКВД:1 | ВКП(б):1 | Известия:1 | ЦК ВКП(б):1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.М. Карпова	1	1832	1937-01-20T20:46:19	1937-01-20T20:46:19	6	4	1	1	1	22	86	press_media:1 | security_apparatus:1 | party_apparatus:1 | state_apparatus:1	ГУГБ:1 | Правда:1 | Совнарком:1 | ВКП(б):1 | ЦК ВКП(б):1 | Политбюро:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.С. Голендо	1	9927	1935-07-23T17:47:00	1935-07-23T17:47:00	6	4	1	1	1	22	86	press_media:1 | security_apparatus:1 | party_apparatus:1 | state_apparatus:1	ГУГБ:1 | Правда:1 | НКВД:1 | Совнарком:1 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.И. Трубиева	1	3444	1936-12-10T18:15:10	1936-12-10T18:15:10	6	4	1	1	1	22	86	party_apparatus:1 | press_media:1 | international:1 | security_apparatus:1	ГУГБ:1 | Правда:1 | НКВД:1 | ВКП(б):1 | ЦК ВКП(б):1 | Коминтерн:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Т.В. Мешковского	1	1973	1936-04-22T01:00:00	1936-04-22T01:00:00	6	4	1	1	1	22	86	party_apparatus:1 | press_media:1 | international:1 | security_apparatus:1	ГУГБ:1 | ИККИ:1 | Правда:1 | ВКП(б):1 | ЦК ВКП(б):1 | Политбюро:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.В. Поздеевой	5	2896	1934-12-23T02:00:00	1936-08-28T13:07:20	4	3	2	2	2	21	85	party_apparatus:4 | international:2 | security_apparatus:1	ВКП(б):4 | Коминтерн:2 | ЦК ВКП(б):1 | ГУГБ:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:4 | ДРУГИЕ ДОКУМЕНТЫ:1	interrogation_protocol:4 | letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Б.Г. Козелева	3	14200	1936-12-25T20:31:16	1937-02-13T17:09:39	5	3	2	1	2	21	85	party_apparatus:3 | security_apparatus:3 | international:1	ГУГБ:3 | ВКП(б):3 | ЦК ВКП(б):3 | Коминтерн:1 | НКВД:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	special_report:2 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.М. Зорина	2	2968	1936-11-03T12:05:56	1937-02-03T16:14:09	6	3	2	1	1	21	85	security_apparatus:2 | party_apparatus:2 | state_apparatus:1	ГУГБ:2 | НКВД:2 | ВКП(б):2 | ЦК ВКП(б):2 | Совнарком:1 | Политбюро:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Д.П. Бухарцева	2	3640	1936-12-30T00:29:00	1937-02-07T11:58:12	6	3	2	1	1	21	85	security_apparatus:2 | party_apparatus:2 | press_media:1	ГУГБ:2 | ВКП(б):2 | ЦК ВКП(б):2 | Правда:1 | НКВД:1 | Известия:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.С. Мамишвили-Мишкевич	2	5599	1936-11-25T18:03:44	1937-02-01T19:15:25	6	3	2	1	1	21	85	party_apparatus:2 | security_apparatus:2 | international:1	ГУГБ:2 | НКВД:2 | ВКП(б):2 | ЦК ВКП(б):2 | Политбюро:1 | Коминтерн:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.М. Аркуса	6	7922	1935-10-02T12:11:49	1936-08-05T00:10:00	5	3	1	1	3	20	84	party_apparatus:6 | security_apparatus:3 | international:1	ВКП(б):6 | ЦК ВКП(б):6 | ГУГБ:3 | НКВД:2 | Коминтерн:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:6	МАТЕРИАЛЫ СЛЕДСТВИЯ:6	special_report:4 | statement:1 | letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.А. Шестова	5	26785	1936-08-30T03:20:00	1936-11-27T14:15:03	6	3	1	1	2	20	84	security_apparatus:5 | party_apparatus:5 | press_media:2	ГУГБ:5 | ВКП(б):5 | ЦК ВКП(б):3 | Правда:2 | НКВД:2 | Политбюро:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:5	МАТЕРИАЛЫ СЛЕДСТВИЯ:5	interrogation_protocol:3 | special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.Е. Евдокимовым	4	6462	1935-01-09T11:00:00	1935-01-12T01:00:00	5	4	1	1	1	21	84	security_apparatus:4 | international:2 | party_apparatus:1 | press_media:1	ГУГБ:4 | НКВД:4 | Коминтерн:2 | ВКП(б):1 | Правда:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4	МАТЕРИАЛЫ СЛЕДСТВИЯ:4	confrontation_protocol:4	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.Ф. Федорова	8	5122	1934-12-18T02:00:00	1935-01-13T06:00:00	6	3	1	1	1	19	83	security_apparatus:8 | party_apparatus:3 | international:2	ГУГБ:8 | НКВД:8 | ВКП(б):3 | Политбюро:2 | Коминтерн:2 | ОО ГУГБ НКВД:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8	МАТЕРИАЛЫ СЛЕДСТВИЯ:8	interrogation_protocol:8	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.Г. Колодина	4	7044	1936-03-08T03:22:00	1936-05-30T00:10:00	6	3	1	1	2	20	83	party_apparatus:4 | security_apparatus:3 | international:1	ВКП(б):4 | ГУГБ:3 | ЦК ВКП(б):3 | Коминтерн:1 | КПК:1 | КПК при ЦК ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	МАТЕРИАЛЫ СЛЕДСТВИЯ:4	special_report:3 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.Н. Маевского	3	6974	1937-01-30T13:02:35	1937-02-22T21:14:21	6	2	2	2	2	20	83	party_apparatus:3 | security_apparatus:2	ВКП(б):3 | ЦК ВКП(б):3 | ГУГБ:2 | КПК при ЦК ВКП(б):1 | КПК:1 | НКВД:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:2 | ДРУГИЕ ДОКУМЕНТЫ:1	special_report:2 | memo_note:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.А. Мусульбаса	7	13487	1936-10-27T20:18:22	1936-12-31T11:43:11	6	3	1	1	1	19	82	security_apparatus:7 | party_apparatus:7 | state_apparatus:1	ГУГБ:7 | ВКП(б):7 | ЦК ВКП(б):7 | НКВД:7 | Совнарком:1 | Политбюро:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:7	МАТЕРИАЛЫ СЛЕДСТВИЯ:7	special_report:7	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.П. Мясникова	7	4150	1934-12-15T11:17:00	1934-12-23T04:00:00	6	3	1	1	1	19	82	security_apparatus:7 | party_apparatus:4 | international:1	ГУГБ:7 | ВКП(б):4 | НКВД:3 | ИККИ:1 | ЦК ВКП(б):1 | Коминтерн:1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:7	МАТЕРИАЛЫ СЛЕДСТВИЯ:7	interrogation_protocol:7	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.П. Костиной	5	2585	1934-12-22T05:00:00	1936-05-12T18:29:48	5	3	1	2	2	20	82	security_apparatus:5 | party_apparatus:2 | international:1	ГУГБ:5 | НКВД:4 | ВКП(б):2 | ЦК ВКП(б):2 | Коминтерн:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	МАТЕРИАЛЫ СЛЕДСТВИЯ:4 | ДРУГИЕ ДОКУМЕНТЫ:1	interrogation_protocol:4 | special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.И. Синелобова	3	2611	1935-01-31T18:58:00	1935-03-15T05:00:00	6	3	1	1	2	20	82	security_apparatus:3 | party_apparatus:3 | press_media:1	ГУГБ:3 | ВКП(б):3 | НКВД:3 | Правда:1 | ЦК ВКП(б):1 | Политбюро:1	КРЕМЛЕВСКОЕ ДЕЛО:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	interrogation_protocol:2 | special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.И. Бурлакова	3	7685	1936-10-15T01:36:00	1936-11-06T10:40:51	6	3	1	1	2	20	82	security_apparatus:3 | party_apparatus:3 | judicial_apparatus:1	ГУГБ:3 | ВКП(б):3 | ЦК ВКП(б):3 | Политбюро:2 | Верховный Суд СССР:1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	interrogation_protocol:2 | special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.Х. Розенблюма	2	3870	1936-03-13T01:22:00	1936-04-03T01:00:00	5	4	1	1	1	21	82	security_apparatus:2 | party_apparatus:2 | judicial_apparatus:1 | press_media:1	ГУГБ:2 | ВКП(б):2 | Верховный Суд СССР:1 | Правда:1 | ЦК ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
П.А. Липшица	2	5062	1936-07-10T01:10:00	1936-07-19T01:10:00	7	3	1	1	1	20	82	party_apparatus:2 | security_apparatus:2 | international:2	ВКП(б):2 | Коминтерн:2 | НКВД:2 | ГУГБ:1 | ИККИ:1 | КПК:1 | Политбюро:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
